evaluator,arm,model,language,N,complete_pairs,both_correct,a_only_correct,b_only_correct,neither_correct,difference_b_minus_a,difference_ci_low,difference_ci_high,difference_bound_low,difference_bound_high,discordance,equal_numeric_answers,equal_wrong_numeric_answers,mcnemar_p,correct_delivery_difference,holm_p
strict,minimal,Qwen/Qwen2.5-7B-Instruct,en,136,135,26,0,101,8,0.7481481481481481,0.674074074074074,0.8222222222222222,0.7426470588235294,0.75,0.7481481481481481,27,1,7.888609052210118e-31,0.7426470588235294,4.733165431326071e-30
strict,minimal,Qwen/Qwen2.5-7B-Instruct,zh,136,120,11,1,79,29,0.65,0.5583333333333333,0.7333333333333333,0.5514705882352942,0.6691176470588235,0.6666666666666666,14,3,1.3400325923359048e-22,0.5661764705882353,5.360130369343619e-22
strict,minimal,Qwen/Qwen2.5-7B-Instruct,es,136,135,27,1,85,22,0.6222222222222222,0.5333333333333333,0.7037037037037037,0.6176470588235294,0.625,0.6370370370370371,28,1,2.248897290378544e-24,0.6176470588235294,1.124448645189272e-23
strict,minimal,mistralai/Mistral-7B-Instruct-v0.3,en,136,1,0,1,0,0,-1.0,-1.0,-1.0,-0.7426470588235294,0.7426470588235294,1.0,0,0,1.0,-0.25,1
strict,minimal,mistralai/Mistral-7B-Instruct-v0.3,zh,136,23,6,2,3,12,0.043478260869565216,-0.13043478260869565,0.21739130434782608,-0.5073529411764706,0.47058823529411764,0.21739130434782608,8,2,1.0,-0.3235294117647059,1
strict,minimal,mistralai/Mistral-7B-Instruct-v0.3,es,136,25,8,4,2,11,-0.08,-0.28,0.12,-0.6323529411764706,0.6176470588235294,0.24,10,2,0.6875,-0.022058823529411766,1
strict,clause_removed,Qwen/Qwen2.5-7B-Instruct,en,136,136,26,0,99,11,0.7279411764705882,0.6470588235294118,0.8014705882352942,0.7279411764705882,0.7279411764705882,0.7279411764705882,27,1,3.1554436208840472e-30,0.7279411764705882,1.8932661725304283e-29
strict,clause_removed,Qwen/Qwen2.5-7B-Instruct,zh,136,103,12,0,64,27,0.6213592233009708,0.5242718446601942,0.7087378640776699,0.4411764705882353,0.6838235294117647,0.6213592233009708,17,5,1.0842021724855044e-19,0.45588235294117646,4.336808689942018e-19
strict,clause_removed,Qwen/Qwen2.5-7B-Instruct,es,136,133,27,1,86,19,0.6390977443609023,0.556390977443609,0.7218045112781954,0.625,0.6470588235294118,0.6541353383458647,28,1,1.137373342260413e-24,0.625,5.686866711302065e-24
strict,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,en,136,8,2,1,1,4,0.0,-0.375,0.375,-0.7132352941176471,0.6985294117647058,0.25,3,1,1.0,-0.22058823529411764,1
strict,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,zh,136,90,33,10,7,40,-0.03333333333333333,-0.12222222222222222,0.05555555555555555,-0.25735294117647056,0.125,0.18888888888888888,46,13,0.629058837890625,-0.07352941176470588,1
strict,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,es,136,13,5,2,1,5,-0.07692307692307693,-0.3076923076923077,0.15384615384615385,-0.7205882352941176,0.7279411764705882,0.23076923076923078,7,2,1.0,-0.11029411764705882,1
strict,scope_explicit,Qwen/Qwen2.5-7B-Instruct,en,136,136,26,0,93,17,0.6838235294117647,0.6029411764705882,0.7573529411764706,0.6838235294117647,0.6838235294117647,0.6838235294117647,28,2,2.0194839173657902e-28,0.6838235294117647,1.2116903504194741e-27
strict,scope_explicit,Qwen/Qwen2.5-7B-Instruct,zh,136,134,12,3,45,74,0.31343283582089554,0.23134328358208955,0.39552238805970147,0.3088235294117647,0.3235294117647059,0.3582089552238806,21,9,1.312585595769633e-10,0.3235294117647059,5.250342383078532e-10
strict,scope_explicit,Qwen/Qwen2.5-7B-Instruct,es,136,135,27,1,81,26,0.5925925925925926,0.5037037037037037,0.6814814814814815,0.5882352941176471,0.5955882352941176,0.6074074074074074,29,2,3.432799542095065e-23,0.5882352941176471,1.7163997710475324e-22
strict,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,en,136,59,23,7,7,22,0.0,-0.11864406779661017,0.11864406779661017,-0.3088235294117647,0.36764705882352944,0.23728813559322035,28,5,1.0,0.18382352941176472,1
strict,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,zh,136,95,29,16,7,43,-0.09473684210526316,-0.18947368421052632,0.0,-0.2867647058823529,0.08823529411764706,0.24210526315789474,44,15,0.0931396484375,-0.10294117647058823,0.2794189453125
strict,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,es,136,42,13,6,4,19,-0.047619047619047616,-0.19047619047619047,0.09523809523809523,-0.5514705882352942,0.36764705882352944,0.23809523809523808,19,6,0.75390625,0.058823529411764705,1
marker_line,minimal,Qwen/Qwen2.5-7B-Instruct,en,136,135,26,0,101,8,0.7481481481481481,0.674074074074074,0.8222222222222222,0.7426470588235294,0.75,0.7481481481481481,27,1,7.888609052210118e-31,0.7426470588235294,4.733165431326071e-30
marker_line,minimal,Qwen/Qwen2.5-7B-Instruct,zh,136,124,11,2,79,32,0.6209677419354839,0.5241935483870968,0.7096774193548387,0.5514705882352942,0.6397058823529411,0.6532258064516129,15,4,2.747893994901158e-21,0.5661764705882353,1.0991575979604632e-20
marker_line,minimal,Qwen/Qwen2.5-7B-Instruct,es,136,135,27,1,85,22,0.6222222222222222,0.5333333333333333,0.7037037037037037,0.6176470588235294,0.625,0.6370370370370371,28,1,2.248897290378544e-24,0.6176470588235294,1.124448645189272e-23
marker_line,minimal,mistralai/Mistral-7B-Instruct-v0.3,en,136,1,0,1,0,0,-1.0,-1.0,-1.0,-0.5882352941176471,0.4632352941176471,1.0,0,0,1.0,-0.5294117647058824,1
marker_line,minimal,mistralai/Mistral-7B-Instruct-v0.3,zh,136,64,23,6,10,25,0.0625,-0.0625,0.1875,-0.23529411764705882,0.3235294117647059,0.25,30,7,0.454498291015625,-0.16176470588235295,1
marker_line,minimal,mistralai/Mistral-7B-Instruct-v0.3,es,136,42,14,7,3,18,-0.09523809523809523,-0.23809523809523808,0.047619047619047616,-0.34558823529411764,0.45588235294117646,0.23809523809523808,17,3,0.34375,-0.18382352941176472,1
marker_line,clause_removed,Qwen/Qwen2.5-7B-Instruct,en,136,136,26,0,99,11,0.7279411764705882,0.6470588235294118,0.8014705882352942,0.7279411764705882,0.7279411764705882,0.7279411764705882,27,1,3.1554436208840472e-30,0.7279411764705882,1.8932661725304283e-29
marker_line,clause_removed,Qwen/Qwen2.5-7B-Instruct,zh,136,125,13,1,66,45,0.52,0.432,0.608,0.4632352941176471,0.5441176470588235,0.536,22,9,9.215718466126788e-19,0.47794117647058826,3.686287386450715e-18
marker_line,clause_removed,Qwen/Qwen2.5-7B-Instruct,es,136,133,27,1,86,19,0.6390977443609023,0.556390977443609,0.7218045112781954,0.625,0.6470588235294118,0.6541353383458647,28,1,1.137373342260413e-24,0.625,5.686866711302065e-24
marker_line,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,en,136,11,3,2,1,5,-0.09090909090909091,-0.36363636363636365,0.18181818181818182,-0.5588235294117647,0.41911764705882354,0.2727272727272727,4,1,1.0,-0.5,1
marker_line,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,zh,136,113,39,13,8,53,-0.04424778761061947,-0.12389380530973451,0.035398230088495575,-0.1323529411764706,0.051470588235294115,0.18584070796460178,57,18,0.38331031799316406,-0.058823529411764705,1
marker_line,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,es,136,33,9,4,6,14,0.06060606060606061,-0.12121212121212122,0.24242424242424243,-0.3897058823529412,0.5147058823529411,0.30303030303030304,14,5,0.75390625,-0.22794117647058823,1
