family,model,language,a,b,N,complete_pairs,both_correct,a_only_correct,b_only_correct,neither_correct,difference_b_minus_a,difference_ci_low,difference_ci_high,difference_bound_low,difference_bound_high,discordance,equal_numeric_answers,equal_wrong_numeric_answers,mcnemar_p,holm_p
language,Qwen/Qwen2.5-7B-Instruct,zh,en/published/brief,zh/published/brief,250,247,20,34,11,182,-0.0931174089068826,-0.145748987854251,-0.04048582995951417,-0.092,-0.08,0.18218623481781376,50,30,0.0008240823595997426,0.0032963294383989705
wording,Qwen/Qwen2.5-7B-Instruct,zh,zh/archived/brief,zh/published/brief,50,48,2,3,2,41,-0.020833333333333332,-0.10416666666666667,0.0625,-0.02,0.02,0.10416666666666667,10,8,1.0,1
language,Qwen/Qwen2.5-7B-Instruct,es,en/published/brief,es/published/brief,250,250,35,19,26,170,0.028,-0.024,0.08,0.028,0.028,0.18,86,51,0.3712980344710104,0.7425960689420208
wording,Qwen/Qwen2.5-7B-Instruct,es,es/archived/brief,es/published/brief,50,50,9,2,3,36,0.02,-0.06,0.12,0.02,0.02,0.1,25,16,1.0,1
format,Qwen/Qwen2.5-7B-Instruct,en,en/published/brief,en/published/number_only,100,100,23,3,5,69,0.02,-0.03,0.08,0.02,0.02,0.08,56,33,0.7265625,1
format,Qwen/Qwen2.5-7B-Instruct,zh,zh/published/brief,zh/published/number_only,100,99,11,3,14,71,0.1111111111111111,0.030303030303030304,0.1919191919191919,0.1,0.11,0.1717171717171717,30,19,0.012725830078125,0.038177490234375
format,Qwen/Qwen2.5-7B-Instruct,es,es/published/brief,es/published/number_only,100,100,21,7,6,66,-0.01,-0.08,0.06,-0.01,-0.01,0.13,54,33,1.0,1
language,mistralai/Mistral-7B-Instruct-v0.3,zh,en/published/brief,zh/published/brief,250,112,35,26,12,39,-0.125,-0.23214285714285715,-0.017857142857142856,-0.38,0.252,0.3392857142857143,39,4,0.03355243967962451,0.10065731903887354
wording,mistralai/Mistral-7B-Instruct-v0.3,zh,zh/archived/brief,zh/published/brief,50,27,6,0,5,16,0.18518518518518517,0.037037037037037035,0.3333333333333333,-0.14,0.42,0.18518518518518517,7,1,0.0625,0.25
language,mistralai/Mistral-7B-Instruct-v0.3,es,en/published/brief,es/published/brief,250,62,20,11,8,23,-0.04838709677419355,-0.1935483870967742,0.08064516129032258,-0.56,0.476,0.3064516129032258,24,4,0.6476058959960938,0.7425960689420208
wording,mistralai/Mistral-7B-Instruct-v0.3,es,es/archived/brief,es/published/brief,50,10,1,1,3,5,0.2,-0.2,0.6,-0.5,0.7,0.4,2,1,0.625,1
format,mistralai/Mistral-7B-Instruct-v0.3,en,en/published/brief,en/published/number_only,100,41,5,19,1,16,-0.43902439024390244,-0.6097560975609756,-0.2682926829268293,-0.66,0.06,0.4878048780487805,6,1,4.00543212890625e-05,0.0002002716064453125
format,mistralai/Mistral-7B-Instruct-v0.3,zh,zh/published/brief,zh/published/number_only,100,78,4,28,3,43,-0.32051282051282054,-0.4358974358974359,-0.19230769230769232,-0.45,-0.23,0.3974358974358974,7,3,4.649162292480469e-06,2.7894973754882812e-05
format,mistralai/Mistral-7B-Instruct-v0.3,es,es/published/brief,es/published/number_only,100,40,4,17,2,17,-0.375,-0.55,-0.2,-0.71,-0.01,0.475,6,2,0.000728607177734375,0.0029144287109375
