model,language,translation_arm,answer_format,N,observed,correct,conditional_accuracy,wilson_low,wilson_high,bound_low,bound_high,ok,answer_unparseable,generation_truncated,generation_failed,not_generated
Qwen/Qwen2.5-7B-Instruct,en,published,brief,250,250,54,0.216,0.16949229589420706,0.2711034182192054,0.216,0.216,250,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,en,published,number_only,100,100,28,0.28,0.20139685211186212,0.3748802870992116,0.28,0.28,100,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,es,archived,brief,50,50,11,0.22,0.1275391597021442,0.3524154958125367,0.22,0.22,50,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,es,published,brief,250,250,61,0.244,0.19489716930255266,0.3008510800391149,0.244,0.244,250,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,es,published,number_only,100,100,27,0.27,0.1926958414957634,0.36432116767944994,0.27,0.27,100,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,zh,archived,brief,50,50,5,0.1,0.04347576493189041,0.21360231437479654,0.1,0.1,50,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,zh,published,brief,250,247,31,0.12550607287449392,0.08984431421070903,0.17263804867396365,0.124,0.136,247,3,0,0,0
Qwen/Qwen2.5-7B-Instruct,zh,published,number_only,100,100,25,0.25,0.17545211362287672,0.34304463548061603,0.25,0.25,100,0,0,0,0
mistralai/Mistral-7B-Instruct-v0.3,en,published,brief,250,139,76,0.5467625899280576,0.4638590268516676,0.6271509649765357,0.304,0.748,139,107,4,0,0
mistralai/Mistral-7B-Instruct-v0.3,en,published,number_only,100,65,8,0.12307692307692308,0.06370467509869226,0.22451494082161527,0.08,0.43,65,35,0,0,0
mistralai/Mistral-7B-Instruct-v0.3,es,archived,brief,50,20,5,0.25,0.11186170140766569,0.468700877618744,0.1,0.7,20,30,0,0,0
mistralai/Mistral-7B-Instruct-v0.3,es,published,brief,250,102,47,0.46078431372549017,0.3672348657242559,0.5571803862087998,0.188,0.78,102,140,8,0,0
mistralai/Mistral-7B-Instruct-v0.3,es,published,number_only,100,88,8,0.09090909090909091,0.046786421476167094,0.16925390579510832,0.08,0.2,88,12,0,0,0
mistralai/Mistral-7B-Instruct-v0.3,zh,archived,brief,50,35,9,0.2571428571428571,0.14163027069060447,0.42069306843839166,0.18,0.48,35,14,1,0,0
mistralai/Mistral-7B-Instruct-v0.3,zh,published,brief,250,203,92,0.45320197044334976,0.3862250954495742,0.5219171111064594,0.368,0.556,203,41,6,0,0
mistralai/Mistral-7B-Instruct-v0.3,zh,published,number_only,100,99,8,0.08080808080808081,0.041514402502911794,0.15141808842264048,0.08,0.09,99,1,0,0,0
