item_id,strict_status,marker_line_status,termination,marker_count,answer_line,marker_absent,repeated_marker,answer_label,currency_symbol,alphabetic_text,multiple_numeric_tokens
mgsm_002,answer_unparseable,answer_unparseable,eos,1,"$22,000",False,False,False,True,False,True
mgsm_193,answer_unparseable,answer_unparseable,eos,1,8 more pink plastic flamingos were out than white plastic flamingos.,False,False,False,False,True,False
mgsm_222,answer_unparseable,answer_unparseable,eos,1,130 flowers,False,False,False,False,True,False
mgsm_067,answer_unparseable,answer_unparseable,eos,1,595 gems in the chest.,False,False,False,False,True,False
mgsm_235,answer_unparseable,answer_unparseable,eos,1,10 pizzas,False,False,False,False,True,False
mgsm_009,answer_unparseable,answer_unparseable,eos,1,$460,False,False,False,True,False,False
mgsm_247,answer_unparseable,answer_unparseable,eos,1,$29,False,False,False,True,False,False
mgsm_139,answer_unparseable,answer_unparseable,eos,1,70 pink gumballs,False,False,False,False,True,False
mgsm_091,answer_unparseable,answer_unparseable,eos,1,28 pets,False,False,False,False,True,False
mgsm_073,answer_unparseable,answer_unparseable,eos,1,$255 (per month for 3 months),False,False,False,True,True,True
mgsm_060,answer_unparseable,answer_unparseable,eos,1,17 good oranges,False,False,False,False,True,False
mgsm_088,answer_unparseable,answer_unparseable,eos,1,"8,000 copies",False,False,False,False,True,True
mgsm_018,answer_unparseable,answer_unparseable,eos,1,7 dozens of eggs,False,False,False,False,True,False
mgsm_049,answer_unparseable,answer_unparseable,eos,1,30 units,False,False,False,False,True,False
mgsm_099,answer_unparseable,answer_unparseable,eos,1,40 potted plants remain with Mary.,False,False,False,False,True,False
mgsm_098,answer_unparseable,answer_unparseable,eos,1,5 cars drove through the traffic jam in the first 15 minutes.,False,False,False,False,True,True
mgsm_204,answer_unparseable,answer_unparseable,eos,1,98 pens,False,False,False,False,True,False
mgsm_226,answer_unparseable,answer_unparseable,eos,1,39%,False,False,False,False,False,False
mgsm_108,answer_unparseable,answer_unparseable,eos,1,65 cookies,False,False,False,False,True,False
mgsm_178,answer_unparseable,answer_unparseable,eos,1,122 crabs,False,False,False,False,True,False
mgsm_190,answer_unparseable,answer_unparseable,eos,1,Final answer: 360 peaches.,False,False,True,False,True,False
mgsm_180,answer_unparseable,answer_unparseable,eos,1,20 votes,False,False,False,False,True,False
mgsm_236,answer_unparseable,answer_unparseable,eos,1,9 pens,False,False,False,False,True,False
mgsm_249,answer_unparseable,answer_unparseable,eos,1,5600 calories,False,False,False,False,True,False
mgsm_161,answer_unparseable,answer_unparseable,eos,1,32 fish were caught by Anakin and Locsin.,False,False,False,False,True,False
mgsm_055,answer_unparseable,answer_unparseable,eos,1,14 bags,False,False,False,False,True,False
mgsm_022,answer_unparseable,answer_unparseable,eos,1,7 DVDs,False,False,False,False,True,False
mgsm_008,answer_unparseable,answer_unparseable,eos,1,0 miles,False,False,False,False,True,False
mgsm_037,answer_unparseable,answer_unparseable,eos,1,John initially had 13 Lego sets.,False,False,False,False,True,False
mgsm_167,ok,ok,eos,1,18,False,False,False,False,False,False
mgsm_132,answer_unparseable,answer_unparseable,eos,1,50 tickets,False,False,False,False,True,False
mgsm_152,answer_unparseable,answer_unparseable,eos,1,$4,False,False,False,True,False,False
mgsm_026,answer_unparseable,answer_unparseable,eos,1,$243,False,False,False,True,False,False
mgsm_146,answer_unparseable,answer_unparseable,eos,1,1625 Lego blocks,False,False,False,False,True,False
mgsm_162,answer_unparseable,answer_unparseable,eos,1,$34.56,False,False,False,True,False,False
mgsm_051,answer_unparseable,answer_unparseable,eos,1,5 hours,False,False,False,False,True,False
mgsm_027,answer_unparseable,answer_unparseable,eos,1,$240.00,False,False,False,True,False,False
mgsm_224,answer_unparseable,answer_unparseable,eos,1,$180,False,False,False,True,False,False
mgsm_129,answer_unparseable,answer_unparseable,eos,1,"$10,000",False,False,False,True,False,True
mgsm_023,answer_unparseable,answer_unparseable,eos,1,Final answer: The candle will be 10 centimeters shorter after burning from 1:00 PM to 5:00 PM.,False,False,True,False,True,True
mgsm_040,answer_unparseable,answer_unparseable,eos,1,12 years old.,False,False,False,False,True,False
mgsm_223,answer_unparseable,answer_unparseable,eos,1,$20000,False,False,False,True,False,False
mgsm_005,answer_unparseable,answer_unparseable,eos,1,$149,False,False,False,True,False,False
mgsm_043,answer_unparseable,answer_unparseable,eos,1,300 grams,False,False,False,False,True,False
