evaluator,arm,model,language,N,complete_pairs,both_correct,a_only_correct,b_only_correct,neither_correct,difference_b_minus_a,difference_ci_low,difference_ci_high,difference_bound_low,difference_bound_high,discordance,equal_numeric_answers,equal_wrong_numeric_answers,mcnemar_p,correct_delivery_difference,holm_p
strict,clause_removed,Qwen/Qwen2.5-7B-Instruct,en,200,199,128,2,58,11,0.2814070351758794,0.21608040201005024,0.34673366834170855,0.28,0.285,0.3015075376884422,133,5,3.1762786845135338e-15,0.285,1.9057672107081203e-14
strict,clause_removed,Qwen/Qwen2.5-7B-Instruct,zh,200,171,92,3,58,18,0.3216374269005848,0.24561403508771928,0.39766081871345027,0.215,0.365,0.3567251461988304,98,6,3.2857397358476703e-14,0.23,1.6428698679238352e-13
strict,clause_removed,Qwen/Qwen2.5-7B-Instruct,es,200,198,129,2,46,21,0.2222222222222222,0.16161616161616163,0.2828282828282828,0.215,0.225,0.24242424242424243,135,6,8.363087999896379e-12,0.22,3.3452351999585517e-11
strict,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,en,200,23,13,3,2,5,-0.043478260869565216,-0.21739130434782608,0.13043478260869565,-0.72,0.595,0.21739130434782608,16,3,1.0,-0.245,1
strict,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,zh,200,133,63,13,15,42,0.015037593984962405,-0.06015037593984962,0.09774436090225563,-0.195,0.175,0.21052631578947367,80,17,0.8505540192127228,0.01,1
strict,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,es,200,15,9,1,1,4,0.0,-0.2,0.2,-0.72,0.71,0.13333333333333333,10,1,1.0,-0.045,1
strict,scope_explicit,Qwen/Qwen2.5-7B-Instruct,en,200,199,128,2,56,13,0.271356783919598,0.20603015075376885,0.33668341708542715,0.27,0.275,0.2914572864321608,133,5,1.1879386363489175e-14,0.275,7.127631818093505e-14
strict,scope_explicit,Qwen/Qwen2.5-7B-Instruct,zh,200,195,100,6,57,32,0.26153846153846155,0.18974358974358974,0.3282051282051282,0.255,0.28,0.3230769230769231,112,12,1.6395687108330947e-11,0.27,8.022027486731531e-11
strict,scope_explicit,Qwen/Qwen2.5-7B-Instruct,es,200,198,130,2,45,21,0.21717171717171718,0.15656565656565657,0.2777777777777778,0.215,0.225,0.23737373737373738,135,5,1.6044054973463062e-11,0.22,8.022027486731531e-11
strict,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,en,200,84,45,12,9,18,-0.03571428571428571,-0.14285714285714285,0.07142857142857142,-0.335,0.415,0.25,51,6,0.6636238098144531,0.14,1
strict,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,zh,200,130,56,16,12,46,-0.03076923076923077,-0.1076923076923077,0.046153846153846156,-0.235,0.16,0.2153846153846154,69,13,0.5715881884098053,-0.03,1
strict,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,es,200,48,25,4,3,16,-0.020833333333333332,-0.125,0.08333333333333333,-0.46,0.58,0.14583333333333334,30,5,1.0,0.215,1
marker_line,clause_removed,Qwen/Qwen2.5-7B-Instruct,en,200,199,128,2,58,11,0.2814070351758794,0.21608040201005024,0.34673366834170855,0.28,0.285,0.3015075376884422,133,5,3.1762786845135338e-15,0.285,1.9057672107081203e-14
marker_line,clause_removed,Qwen/Qwen2.5-7B-Instruct,zh,200,175,94,3,59,19,0.32,0.24571428571428572,0.3942857142857143,0.23,0.36,0.35428571428571426,101,7,1.724922288337538e-14,0.245,8.624611441687691e-14
marker_line,clause_removed,Qwen/Qwen2.5-7B-Instruct,es,200,199,130,2,46,21,0.22110552763819097,0.16080402010050251,0.2814070351758794,0.22,0.225,0.24120603015075376,136,6,8.363087999896379e-12,0.225,3.3452351999585517e-11
marker_line,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,en,200,37,21,4,4,8,0.0,-0.16216216216216217,0.13513513513513514,-0.575,0.28,0.21621621621621623,26,5,1.0,-0.53,1
marker_line,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,zh,200,171,81,19,20,51,0.005847953216374269,-0.06432748538011696,0.07602339181286549,-0.08,0.07,0.22807017543859648,104,23,1.0,-0.015,1
marker_line,clause_removed,mistralai/Mistral-7B-Instruct-v0.3,es,200,77,41,7,12,17,0.06493506493506493,-0.05194805194805195,0.16883116883116883,-0.375,0.295,0.24675324675324675,49,8,0.359283447265625,-0.265,1
marker_line,scope_explicit,Qwen/Qwen2.5-7B-Instruct,en,200,199,128,2,56,13,0.271356783919598,0.21105527638190955,0.33668341708542715,0.27,0.275,0.2914572864321608,133,5,1.1879386363489175e-14,0.275,7.127631818093505e-14
marker_line,scope_explicit,Qwen/Qwen2.5-7B-Instruct,zh,200,195,100,6,57,32,0.26153846153846155,0.18974358974358974,0.3333333333333333,0.255,0.28,0.3230769230769231,112,12,1.6395687108330947e-11,0.27,8.022027486731531e-11
marker_line,scope_explicit,Qwen/Qwen2.5-7B-Instruct,es,200,198,130,2,45,21,0.21717171717171718,0.15656565656565657,0.2777777777777778,0.215,0.225,0.23737373737373738,135,5,1.6044054973463062e-11,0.22,8.022027486731531e-11
marker_line,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,en,200,172,98,22,16,36,-0.03488372093023256,-0.10465116279069768,0.03488372093023256,-0.11,0.04,0.22093023255813954,110,12,0.417692190836533,-0.065,1
marker_line,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,zh,200,162,70,19,16,57,-0.018518518518518517,-0.09259259259259259,0.05555555555555555,-0.16,0.035,0.21604938271604937,89,19,0.7358788008568808,-0.095,1
marker_line,scope_explicit,mistralai/Mistral-7B-Instruct-v0.3,es,200,151,84,16,19,32,0.019867549668874173,-0.059602649006622516,0.09271523178807947,-0.11,0.165,0.23178807947019867,95,11,0.7358788008568808,0.0,1
