evaluator,model,language,answer_format,N,observed,correct,correct_delivery,coverage,conditional_accuracy,bound_low,bound_high,ok,answer_unparseable,generation_truncated,generation_failed
marker_line,Qwen/Qwen2.5-7B-Instruct,en,clause_removed,200,200,187,0.935,1.0,0.935,0.935,0.935,200,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,en,restrictive,200,199,130,0.65,0.995,0.6532663316582915,0.65,0.655,199,1,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,en,scope_explicit,200,200,185,0.925,1.0,0.925,0.925,0.925,200,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,clause_removed,200,200,177,0.885,1.0,0.885,0.885,0.885,200,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,restrictive,200,199,132,0.66,0.995,0.6633165829145728,0.66,0.665,199,1,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,scope_explicit,200,199,176,0.88,0.995,0.8844221105527639,0.88,0.885,199,1,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,clause_removed,200,177,155,0.775,0.885,0.8757062146892656,0.775,0.89,177,23,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,restrictive,200,197,106,0.53,0.985,0.5380710659898477,0.53,0.545,197,3,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,scope_explicit,200,198,160,0.8,0.99,0.8080808080808081,0.8,0.81,198,2,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,clause_removed,200,38,26,0.13,0.19,0.6842105263157895,0.13,0.94,38,160,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,restrictive,200,191,132,0.66,0.955,0.6910994764397905,0.66,0.705,191,9,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,scope_explicit,200,179,119,0.595,0.895,0.664804469273743,0.595,0.7,179,21,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,clause_removed,200,88,61,0.305,0.44,0.6931818181818182,0.305,0.865,88,112,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,restrictive,200,178,114,0.57,0.89,0.6404494382022472,0.57,0.68,178,22,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,scope_explicit,200,167,114,0.57,0.835,0.6826347305389222,0.57,0.735,167,33,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,clause_removed,200,183,105,0.525,0.915,0.5737704918032787,0.525,0.61,183,17,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,restrictive,200,187,108,0.54,0.935,0.5775401069518716,0.54,0.605,187,11,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,scope_explicit,200,174,89,0.445,0.87,0.5114942528735632,0.445,0.575,174,25,1,0
strict,Qwen/Qwen2.5-7B-Instruct,en,clause_removed,200,200,187,0.935,1.0,0.935,0.935,0.935,200,0,0,0
strict,Qwen/Qwen2.5-7B-Instruct,en,restrictive,200,199,130,0.65,0.995,0.6532663316582915,0.65,0.655,199,1,0,0
strict,Qwen/Qwen2.5-7B-Instruct,en,scope_explicit,200,200,185,0.925,1.0,0.925,0.925,0.925,200,0,0,0
strict,Qwen/Qwen2.5-7B-Instruct,es,clause_removed,200,199,176,0.88,0.995,0.8844221105527639,0.88,0.885,199,1,0,0
strict,Qwen/Qwen2.5-7B-Instruct,es,restrictive,200,199,132,0.66,0.995,0.6633165829145728,0.66,0.665,199,1,0,0
strict,Qwen/Qwen2.5-7B-Instruct,es,scope_explicit,200,199,176,0.88,0.995,0.8844221105527639,0.88,0.885,199,1,0,0
strict,Qwen/Qwen2.5-7B-Instruct,zh,clause_removed,200,173,152,0.76,0.865,0.8786127167630058,0.76,0.895,173,27,0,0
strict,Qwen/Qwen2.5-7B-Instruct,zh,restrictive,200,197,106,0.53,0.985,0.5380710659898477,0.53,0.545,197,3,0,0
strict,Qwen/Qwen2.5-7B-Instruct,zh,scope_explicit,200,198,160,0.8,0.99,0.8080808080808081,0.8,0.81,198,2,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,clause_removed,200,32,22,0.11,0.16,0.6875,0.11,0.95,32,166,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,restrictive,200,105,71,0.355,0.525,0.6761904761904762,0.355,0.83,105,95,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,scope_explicit,200,145,99,0.495,0.725,0.6827586206896552,0.495,0.77,145,55,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,clause_removed,200,49,32,0.16,0.245,0.6530612244897959,0.16,0.915,49,151,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,restrictive,200,65,41,0.205,0.325,0.6307692307692307,0.205,0.88,65,135,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,scope_explicit,200,127,84,0.42,0.635,0.6614173228346457,0.42,0.785,127,73,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,clause_removed,200,167,94,0.47,0.835,0.562874251497006,0.47,0.635,167,33,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,restrictive,200,159,92,0.46,0.795,0.5786163522012578,0.46,0.665,159,39,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,scope_explicit,200,162,86,0.43,0.81,0.5308641975308642,0.43,0.62,162,37,1,0
